Title,Company,Experience,Location,Tags,Ratings,Reviews,Salary,Job_Type,Posted
Data Science Application Developer,Accenture Solutions Pvt Ltd,6-8 Yrs,Pune,"modelling
statistical modeling
analytics
data mining
Visual Analytics
AI
STATA
R",4.0,(18767 Reviews),Not disclosed,PREFERRED,12 DAYS AGO
Lead Data Scientist - Tensorflow/Machine Learning,Getinz Techno Services,7-10 Yrs,"Mumbai, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","IT Skills
Java
Python
Data Science
Machine Learning
Artificial Intelligence
Cloud
Tensorflow",,,Not disclosed,HOT JOB,16 DAYS AGO
Machine Learning Expert,Wavelabs Technologies Private Limited,4-8 Yrs,Hyderabad/Secunderabad,"Computer vision
Data analysis
GCP
Artificial Intelligence
Machine learning
Debugging
Agile
Data processing",3.2,(6 Reviews),Not disclosed,,30+ DAYS AGO
Hiring Data Science/Machine Learning Trainer–Full Time-Ghaziabad,Synergistic Compusoft Private Limited,7-10 Yrs,"Noida, Ghaziabad, Delhi / NCR","Data Science
Trainer
Machine Learning
communication
science
Java
Tableau
NET",,,Not disclosed,HOT JOB,14 DAYS AGO
Python Full Stack Engineer - Machine Learning/Predictive Modeling,Blackcoffer,5-10 Yrs,Delhi / NCR,"Python Full Stack Engineer
Machine Learning
Data Analytics
Python
Predictive Modeling",4.7,(5 Reviews),Not disclosed,HOT JOB,13 DAYS AGO
Natural Language Processing (NLP) Application Developer,Accenture Solutions Pvt Ltd,8-10 Yrs,Bangalore/Bengaluru,"Scipy
verbal
Python
NLP
comm
Stats Language Modeling
written
Neural Language Modeling",4.0,(18767 Reviews),Not disclosed,PREFERRED,21 DAYS AGO
Data Scientist - Artificial Intelligence/ Machine Learning,Okda Solutions,4-8 Yrs,Hyderabad/Secunderabad,"IT Skills
Oracle
HTML
Tableau
Data Science
R
NLP
NoSQL",,,Not disclosed,PREMIUM,12 DAYS AGO
Data Scientist - Artificial Intelligence/ Machine Learning,Okda Solutions,4-8 Yrs,Hyderabad/Secunderabad,"Data Science
R
NLP
NoSQL
RDBMS
Artificial Intelligence
Data Scientist
Statistical Modeling",,,Not disclosed,PREMIUM,11 DAYS AGO
Data Science Application Lead,Accenture Solutions Pvt Ltd,6-8 Yrs,Bangalore/Bengaluru,"IT Skills
Python
Data Science
Machine Learning
Big Data
AWS
Tableau
SAS",4.0,(18767 Reviews),Not disclosed,PREFERRED,1 DAY AGO
Speech Scientist - Artificial Intelligence/Machine Learning,Career Maker,3-8 Yrs,Bangalore/Bengaluru,"IT Skills
Java
Python
Data Science
Machine Learning
Artificial Intelligence
Natural Language Processing
Speech Recognition",,,Not disclosed,HOT JOB,14 DAYS AGO
Data Scientist / Machine Learning Engineer,IBM India Pvt. Limited,3-7 Yrs,Bangalore/Bengaluru,"DB2
scipy
numpy
Watson Studio
github
Flask
jira
SQL",4.0,(10079 Reviews),Not disclosed,PREFERRED,25 DAYS AGO
Senior Data Scientist,Red Hat India Pvt Ltd,8-13 Yrs,Bangalore/Bengaluru,"IT Skills
Python
Data Science
Machine Learning
Cloud
Big Data
Docker
Data Analysis",4.4,(89 Reviews),Not disclosed,HOT JOB,19 DAYS AGO
Senior Data Scientist - Machine Learning,MarketScope,5-8 Yrs,Delhi / NCR,"Linux
Java
Unix scripting
machine learning
Scala
R
Python
Data Science",,,Not disclosed,HOT JOB,22 DAYS AGO
Director Machine Learning,Zycus Infotech Pvt Ltd,14-18 Yrs,Mumbai,"Java
predictive modelling
Pattern Recognition
C++
Computational Linguistics
Natural Language Processing
Operations Research
Perl",3.2,(174 Reviews),Not disclosed,PREMIUM,30+ DAYS AGO
Senior Manager Research Scientist - Machine Learning,Career Maker,12-18 Yrs,Bangalore/Bengaluru,"IT Skills
Java
Python
Machine Learning
C++
R
Project Management
Data Scientist",,,Not disclosed,HOT JOB,15 DAYS AGO
Senior Analyst - Machine Learning/deep Learning,Confidential,3-5 Yrs,"Hyderabad/Secunderabad, Chennai","Data Science
Data Management
Statistical Modeling
System Analyst
Machine Learning
Algorithm
Deep Learning
Python",,,Not disclosed,PREMIUM,12 DAYS AGO
Data Science Advanced Application Engineer,Accenture Solutions Pvt Ltd,6-8 Yrs,Mumbai,"communication
Data Science
Deep Learning
written
Data Visualization
verbal
Machine Learning Algorithms
Advanced Machine Learning",4.0,(18767 Reviews),Not disclosed,PREFERRED,12 DAYS AGO
Data Science Advanced Application Engineer,Accenture Solutions Pvt Ltd,6-8 Yrs,Chennai,"IT Skills
Data Science
Machine Learning
Cloud
Big Data
Computer science
deep learning
Consulting",4.0,(18767 Reviews),Not disclosed,PREFERRED,12 DAYS AGO
Data Science Advanced Application Engineer,Accenture Solutions Pvt Ltd,6-8 Yrs,Hyderabad/Secunderabad,"IT Skills
Data Science
Machine Learning
Cloud
Big Data
Computer science
deep learning
Consulting",4.0,(18767 Reviews),Not disclosed,PREFERRED,12 DAYS AGO
Data Science Advanced Application Engineer,Accenture Solutions Pvt Ltd,6-8 Yrs,Bangalore/Bengaluru,"IT Skills
Data Science
Machine Learning
Cloud
Big Data
Computer science
deep learning
Consulting",4.0,(18767 Reviews),Not disclosed,PREFERRED,12 DAYS AGO
Machine Learning Application Lead,Accenture Solutions Pvt Ltd,6-8 Yrs,Bangalore/Bengaluru,"IT Skills
Python
Machine Learning
Azure
Time management
Consulting
Manager Technology
Application Lead",4.0,(18767 Reviews),Not disclosed,PREFERRED,12 DAYS AGO
Machine Learning Engineer,Bharti Airtel Limited,3-5 Yrs,"Delhi / NCR
(WFH during Covid)","Pytorch
Tensorflow
Object Detection
C++
C
Algorithms
Computer Vision
Machine Learning",4.1,(6665 Reviews),Not disclosed,PREMIUM,22 DAYS AGO
Architect - Machine Learning,Quantiphi Analytics Solutions Pvt. Ltd.,4-8 Yrs,"Mumbai, Bangalore/Bengaluru","deep learning
Computer vision
Architect
github
Coding
Machine learning
Cloud
Python",3.7,(69 Reviews),Not disclosed,,30+ DAYS AGO
Group Manager - Data Science,WNS GLOBAL SERVICES PRIVATE LIMITED,5-10 Yrs,"Mumbai, Bangalore/Bengaluru
(WFH during Covid)","Machine Learning
Deep Learning
Python
Data Science
R
Statistical Modeling
Team Leading",3.7,(4157 Reviews),Not disclosed,PREFERRED,3 DAYS AGO
Natural Language Processing (NLP) Application Developer,Accenture Solutions Pvt Ltd,6-8 Yrs,Hyderabad/Secunderabad,"Spacy
NLP
nltk
Natural Language Processing
Weka
Keras
scikit
machine learning",4.0,(18767 Reviews),Not disclosed,PREFERRED,22 DAYS AGO
Head Machine Learning,Job Fittment Finder,10-20 Yrs,"Pune, Delhi / NCR","IT Skills
Python
Machine Learning
NoSQL
Artificial Intelligence
MySQL
MongoDB
Jupyter",,,Not disclosed,PREMIUM,30+ DAYS AGO
Machine Learning Engineer - Computer Vision/NLP,Scandid,5-10 Yrs,Pune,"Tensorflow
Hive
NLP
Artificial Intelligence
Neural Networks
Computer Vision
Machine Learning
Numpy",5.0,(2 Reviews),Not disclosed,PREMIUM,22 DAYS AGO
Associate Data Scientist,Shell India Markets Private Limited,3-5 Yrs,Chennai,"Data Science
Factor Analysis
Natural Language Processing
Neural Networks
Market Basket Analysis
Decision Trees
Machine Learning",4.1,(687 Reviews),Not disclosed,HOT JOB,FEW HOURS AGO
Lead Data Scientist,Megma Services,4-8 Yrs,"Mumbai
(WFH during Covid)","Data Science
MS SQL
Exploratory Data Analysis
Data Scientist
Statistical Modeling
Time Series
Data Mining
Text Mining",,,Not disclosed,PREMIUM,6 DAYS AGO
Deputy Manager - Datalabs (Data Scientist),HDFC LIFE INSURANCE COMPANY LIMITED,4-6 Yrs,Bangalore/Bengaluru,"Predictive Modeling
Artificial Intelligence
Node.Js
Statistics
Deep Learning
Random Forest
SQL
Model Development",4.0,(2891 Reviews),Not disclosed,PREMIUM,30+ DAYS AGO
Manager - Machine Learning - Analytics Firm,Huquo Consulting Pvt. Ltd,3-8 Yrs,"Gurgaon/Gurugram, Delhi / NCR","R
SAS
Data Management
Machine Learning
Analytics",,,Not disclosed,PREMIUM,11 DAYS AGO
Machine Learning Engineer - Azure Databricks,TalentCo Search Pvt Ltd,4-8 Yrs,Bangalore/Bengaluru,"python
R
Azure
Science
PySpark
Databricks
IT Skills
Data Science",,,Not disclosed,PREMIUM,11 DAYS AGO
Python Engineer - Machine Learning/Hive,Huquo Consulting Pvt. Ltd,3-7 Yrs,Bangalore/Bengaluru,"Tensorflow
Hive
Big Data
Machine Learning
Deep Learning
Python
SQL",,,Not disclosed,PREMIUM,11 DAYS AGO
Machine Learning,Diverse Lynx,2-5 Yrs,Bengaluru,"IT Skills
Python
Machine Learning
Unix
Text mining
Natural language processing
text analytics",2.8,(47 Reviews),Not disclosed,,30+ DAYS AGO
Machine Learning Engineer,JMoon Technologies Pvt. Ltd.,2-5 Yrs,Delhi,"TensorFlow Lite
TensorFlow js
javascript
scikit
TensorFlow Serving
TensorFlow Hub
Python
TensorFlow",,,Not disclosed,,30+ DAYS AGO
Azure Machine Learning Lead,Akscellence Info Solutions LLP,6-10 Yrs,"Gurgaon, haryana","Azure ML Studio
CI / CD
Machine Learning model
Azure
Business Intelligence Analyst
Strategic planning
Programming
power bi",,,Not disclosed,,30+ DAYS AGO
Sr. Engineer - Artificial Intelligence with Machine Learning,L&T TECHNOLOGY SERVICES LIMITED,3-3 Yrs,United States (USA),"Power BI
DO178
IoT
Python
Tableau
Spark
Artificial Intelligence
Data Analytics",3.2,(952 Reviews),Not disclosed,HOT JOB,17 DAYS AGO
"Data Scientist ( Machine Learning , Pyspark, Cloud , DevOps)",JUMBO CONSULTANTS,4-9 Yrs,Remote,"IT Skills
Machine Learning
Cloud
DevOps
Jenkins
AWS
Azure
Pyspark",,,Not disclosed,,18 DAYS AGO
Machine Learning Engineer,Quantiphi Analytics Solutions Pvt. Ltd.,2-5 Yrs,Mumbai,"Analytical skills
Cluster analysis
Logistic regression
Lead generation
Statistical modeling
Factor analysis
data science
Machine learning",3.7,(69 Reviews),Not disclosed,,18 DAYS AGO
Vice President - Machine Learning,ExecBoardinAsia,11-15 Yrs,Bangalore/Bengaluru,"continuous integration
Change management
Performance management
Machine learning
Vice President
Deployment
Research
Distribution system",,,Not disclosed,PREMIUM,18 DAYS AGO
"Data Scientist ( Machine Learning , Pyspark, Cloud , DevOps)",JUMBO CONSULTANTS,4-9 Yrs,Remote,"Aws
GCP
Kubernetes
Machine Learning
Azure
Dockers
Jenkins
Cloud",,,Not disclosed,HOT JOB,18 DAYS AGO
Automation Test Engineer with Machine Learning,Naukri Premium - Employer Services,5-9 Yrs,Hyderabad/Secunderabad,"automation
testing
Machine Learning
ml",,,Not disclosed,PREMIUM,18 DAYS AGO
SR Machine Learning Engineer,codeMantra Pvt Ltd,5-9 Yrs,Chennai(Perungudi),"Image Processing
Deep Learning
Python
Agile
Keras
Java
scikit
Azure",3.8,(43 Reviews),"10,00,000 - 16,00,000 PA.",,30+ DAYS AGO
Machine Learning Engineer - Python | Delta Air Lines,TALENT500 TECH (INDIA) PRIVATE LIMITED,3-8 Yrs,Bangalore/Bengaluru,"Jenkins
Maven
Git
Docker
CICD
API
AWS
Devops",,,Not disclosed,PREMIUM,30+ DAYS AGO
MACHINE LEARNING ENGINEER,Aitouch,5-10 Yrs,Gurgaon,"Training
deep learning
Usage
Linux
Opencv
Web development
Machine learning
Data quality",4.2,(23 Reviews),Not disclosed,PREMIUM,30+ DAYS AGO
Machine Learning,Diverse Lynx,2-7 Yrs,Bengaluru,"IT Skills
Python
Machine Learning
Text mining
deep learning
DBMS
SQL",2.8,(47 Reviews),Not disclosed,PREMIUM,30+ DAYS AGO
Artificial Intelligence & Machine Learning Lead,HRDevi Talent Acquisition,6-7 Yrs,Thane,"Storage servers
SAN
Cisco Certification
ITSM
ITIL
MS Office
sub-system
Six Sigma",4.7,(2 Reviews),Not disclosed,,30+ DAYS AGO
Artificial Intelligence & Machine Learning Lead,HRDevi Talent Acquisition,6-8 Yrs,Mumbai,"C
My SQL
BI
H20
Data Mining
Cassandara
R
Dynamo DB",4.7,(2 Reviews),Not disclosed,,30+ DAYS AGO
Machine Learning Smartphone Developer,SEMUSI PTE LTD,2-7 Yrs,Noida,"IT Skills
Machine Learning
assembly language
Six Sigma
PMP
C
JavaScript
Real Time Operating Systems",,,Not disclosed,,30+ DAYS AGO
GIS Developers- Machine learning,Amnex Infotechnologies,0-3 Yrs,Ahmedabad,"python
AutoEncoder
Algorithm Development
Tensorflow
Keras
web development
Machine Learning Framework
Pytorch",4.1,(39 Reviews),Not disclosed,,30+ DAYS AGO
Data Scientist / Advanced Analytics - Machine Learning,E2E Infoware Management Services Pvt Ltd,1-5 Yrs,"Chennai, Bengaluru","advanced analytics
deep learning
Artificial Intelligence
R Programming
Machine learning
Python",3.9,(5 Reviews),Not disclosed,,30+ DAYS AGO
Machine Learning Smartphone Developer,SEMUSI PTE LTD,2-7 Yrs,Noida,"IT Skills
Machine Learning
assembly language
Six Sigma
PMP
C
JavaScript
Real Time Operating Systems",,,Not disclosed,,30+ DAYS AGO
GIS Developers- Machine learning,Amnex Infotechnologies,0-3 Yrs,Ahmedabad,"python
AutoEncoder
Algorithm Development
Tensorflow
Keras
web development
Machine Learning Framework
Pytorch",4.1,(39 Reviews),Not disclosed,,30+ DAYS AGO
Data Engineer/ Machine Learning Engineer/ Big Data Developer,Creeno Solutions,2-6 Yrs,Bangalore/Bengaluru,"Microservice Architectures
JSON
EC2
API
NoSQL
Spark
Java
Container Orchestration",,,Not disclosed,HOT JOB,18 DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,6-8 Yrs,Pune,"IT Skills
Machine Learning
Big Data
Business process
Automation
github
Data modeling
Consulting",4.0,(18767 Reviews),Not disclosed,PREFERRED,19 DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,6-8 Yrs,Hyderabad/Secunderabad,"IT Skills
Java
Python
Data Science
Machine Learning
Oracle
Business process
Architecture",4.0,(18767 Reviews),Not disclosed,PREFERRED,19 DAYS AGO
Senior Machine Learning Engineer/Lead Engineer,Confidential,2-7 Yrs,Chennai,"Pytorch
Algorithm Development
C++
C
Artificial Intelligence
Image Processing
Computer Vision
Machine Learning",,,Not disclosed,PREMIUM,19 DAYS AGO
Machine Learning Engineer - Python/Deep Learning,Mantras2Success Consultants,1-4 Yrs,Hyderabad/Secunderabad,"IT Skills
Java
Python
Machine Learning
Big Data
NLP
Artificial Intelligence
Scala",,,Not disclosed,HOT JOB,19 DAYS AGO
"Machine Learning Engineer (python,pandas, numpy)",Job Fittment Finder,3-5 Yrs,"Pune, Bangalore/Bengaluru","scipy
numpy
analysis
Flask
Spark
D3 js
sklearn
Hadoop",,,Not disclosed,HOT JOB,19 DAYS AGO
"Machine Learning Engineer (python,pandas;numpy)",Job Fittment Finder,3-5 Yrs,"Pune, Bangalore/Bengaluru","analysis
Web2Py
Spark MLlib
scipy
communication
matplotlib
Python
D3 js",,,Not disclosed,PREMIUM,19 DAYS AGO
Engineer - AI/Machine-Learning,Harman Connected Services Corporation India Pvt.,2-6 Yrs,Bangalore/Bengaluru,"C++
Automation
Claims
Technical writing
Staffing
Machine learning
Signal processing
IPS",3.7,(606 Reviews),Not disclosed,,19 DAYS AGO
Senior Machine Learning Engineer ( Immediate Joiners only ),Atyeti IT Services Private Limited,6-11 Yrs,"Pune
(WFH during Covid)","Natural Language Processing
Machine Learning
Python
Rnn
BERT",3.9,(8 Reviews),Not disclosed,HOT JOB,19 DAYS AGO
Machine Learning Engineer,SNDK Corp,1-5 Yrs,Ahmedabad,"Object detection
Amazon web Services
Raspberry Pi
Rest API
AWS
machine learning
Angular JS
Python",,,Not disclosed,HOT JOB,19 DAYS AGO
Senior Trainer -Data Science Machine Learning,Kush Kochar,2-7 Yrs,Bhopal,"panda
Conferences
Hadoop
Big Data
Data analytics
Tableau
Machine Learning
NumPy",,,"3,00,000 - 6,00,000 PA.",,19 DAYS AGO
Machine Learning / Deep Learning Engineer ( AI / ML ),AUDAX LABS PRIVATE LIMITED,5-8 Yrs,"Noida(Sector-126 Noida), Kolkata
(WFH during Covid)","NLP
Opencv
Image Processing
Artificial Intelligence
Natural Language Processing
Text Mining
Computer Vision
Machine Learning",4.0,(5 Reviews),"15,00,000 - 30,00,000 PA.",HOT JOB,1 DAY AGO
Engineering Lead - Machine Learning,Talento HR,8-12 Yrs,Noida,"IT Skills
Java
Python
Software Development
Data Science
Machine Learning
Cloud
Pytorch",,,Not disclosed,,30+ DAYS AGO
Machine Learning Engineer,Quality Engineering Software Technologies Pvt. Ltd.,3-7 Yrs,Trivandrum/Thiruvananthapuram,"IT Skills
Python
Testing
Data Science
Machine Learning
Artificial Intelligence
Cloud
Computer science",3.3,(756 Reviews),Not disclosed,,30+ DAYS AGO
Machine Learning Engineer,Optimeyes AI,5-7 Yrs,"Kolkata, Jamshedpur, Ahmedabad, Chennai, Coimbatore, Delhi / NCR","Tensorflow
Data Science
Xgboost
R CODE
Artificial Intelligence
Keras
Machine Learning
Deep Learning",,,"7,00,000 - 9,50,000 PA.",HOT JOB,5 DAYS AGO
Artificial Intelligence & Machine Learning,Well Point IT Solutions Pvt Ltd,4-6 Yrs,Hyderabad,"Data analysis
Product engineering
Artificial Intelligence
Machine learning
Natural language processing
Data mining
Analytics
SQL",3.8,(9 Reviews),Not disclosed,,30+ DAYS AGO
Senior Machine Learning Engineer,ADP India Pvt Ltd,3-8 Yrs,Chennai,"Computer science
Cloud computing
continuous integration
Neural networks
Machine learning
Debugging
Agile
Infrastructure development",4.2,(908 Reviews),Not disclosed,,30+ DAYS AGO
Machine Learning Engineer,Pype,2-5 Yrs,Bengaluru,"data science
Machine learning",,,Not disclosed,,30+ DAYS AGO
AI / Machine Learning - Architect,Eagle Genomics Ltd,3-8 Yrs,Hyderabad/Secunderabad,"Mining
Managed services
Technical writing
GCP
Machine learning
Natural language processing
data visualization
cxo",,,Not disclosed,PREMIUM,30+ DAYS AGO
Developer Machine Learning,ITC Infotech India Ltd,4-6 Yrs,Bengaluru,"IT Skills
Machine Learning
Product Management
Data analysis
Process optimization
Manager Technology
Database
Research",3.3,(1042 Reviews),Not disclosed,,30+ DAYS AGO
Lead Data Scientist (Machine Learning),Dream11 Inc,5-8 Yrs,Mumbai,"Backend
nginx
cassandra
MySQL
Machine learning
Manager Technology
MongoDB
RPM",5.0,(6 Reviews),Not disclosed,,30+ DAYS AGO
"R&D - NLP, Machine Learning (Java, C#, C )",CAREER MAKERS,5-10 Yrs,"New Delhi, Delhi","algorithms
python
c
code
solid
technical
software
software design",,,Not disclosed,,30+ DAYS AGO
Machine Learning Scientist,CAREER MAKERS,5-10 Yrs,"Bangalore/Bengaluru, Bengaluru / Bangalore","IT Skills
Java
Python
Software Development
Machine Learning
matlab
c
data mining",,,Not disclosed,,30+ DAYS AGO
"R&D - NLP, Machine Learning (Java, C#, C )",CAREER MAKERS,5-10 Yrs,"New Delhi, Delhi","algorithms
python
c
code
solid
technical
software
software design",,,Not disclosed,,30+ DAYS AGO
Machine Learning Data Scientist,Xamplay,3-7 Yrs,Bangalore/Bengaluru,"Machine learning
data visualization",,,Not disclosed,,30+ DAYS AGO
Data Analyst - R/Python/ Machine Learning Algorithms,Huquo Consulting Pvt. Ltd,3-5 Yrs,Delhi / NCR,"R
data analytics
data mining
machine learning
data cleansing
mathematical modelling
data analysis
statistical analysis",,,Not disclosed,HOT JOB,20 DAYS AGO
Senior Machine Learning Engineer / Lead Engineer - Tensorflow,Confidential,9-14 Yrs,Chennai,"IT Skills
Python
Machine Learning
Tensorflow
C++
PyTorch
Image Processing
OOAD",,,Not disclosed,HOT JOB,20 DAYS AGO
Senior Machine Learning Engineer,Mad Street Den,3-6 Yrs,Chennai,"Tensorflow
communication
microservice architectures
OpenCV
NoSQL
PyTorch
machine learning
Python",4.2,(4 Reviews),Not disclosed,,19 DAYS AGO
Junior Machine Learning Engineer,Mad Street Den,1-2 Yrs,Chennai,"Tensorflow
Computer Vision
Machine Learning
OpenCV
C / C++
NoSQL
PyTorch
Deep Learning",4.2,(4 Reviews),Not disclosed,,19 DAYS AGO
Machine Learning Engg with Python 1-5Yrs exp Pune Loc,SHRIKRISHNA LAXMAN POHNERKAR,1-5 Yrs,"Pune
(WFH during Covid)","algorithms
pytest
python
Machine Learning
data structures
IT Skills
Understanding data structures
Machine Learning expertise",,,"6,00,000 - 15,00,000 PA.",,20 DAYS AGO
"Python/Machine Learning Trainer - Full Time - Chandigarh, Delhi NCR",Allsoft Solutions and Services Pvt. Ltd,1-3 Yrs,"Chandigarh, Delhi / NCR","PyTorch
machine learning
pyplot
TensorFlow
Caffe2
Python
ggplot2 Teaching
dplyr",,,Not disclosed,HOT JOB,20 DAYS AGO
Data Science Product Manager- Artificial Intelligence/Machine Learning,Catalyst,4-9 Yrs,Bangalore/Bengaluru,"Tensorflow
YOLO
Resnet
Kubernetes
Machine Learning
agile
NoSQL
R",,,Not disclosed,PREMIUM,30+ DAYS AGO
Data Scientist - Machine Learning/NLP,TalPro,2-6 Yrs,Gurgaon/Gurugram,"IT Skills
Python
Machine Learning
R
Pattern Recognition
NLP
Data Scientist
MySQL",,,Not disclosed,HOT JOB,11 DAYS AGO
Machine Learning Engineer,PeopleGrove,2-5 Yrs,Remote,"Computer science
Neural networks
GCP
Analytical
Machine learning
SCALA
Data structures
Natural language processing",,,Not disclosed,,30+ DAYS AGO
Urgent Opening For Machine Learning-Senior Manager,Peoplefy Infosolutions Pvt. Ltd.,10-20 Yrs,Pune,"GIT
Machine learning
Azure ML Service
Azure DevOps
Microsoft Azure Cloud
IT Skills
Cloud
DevOps",,,Not disclosed,PREFERRED,15 DAYS AGO
Machine Learning Algorithm Developer,Machinellium Mavericks Projects and Consultants,3-6 Yrs,Hyderabad/Secunderabad,"Machine Learning Algorithm Developer
Java
algorithms
c
analytical
Hadoop
developing
develop",,,Not disclosed,,30+ DAYS AGO
Principle Engineer - Machine Learning Platform,Target Corporation India Pvt Ltd,4-7 Yrs,Bangalore/Bengaluru,"Product engineering
Coding
Enterprise applications
Enterprise architecture
Debugging
Machine learning
Agile
Open source",4.3,(246 Reviews),Not disclosed,,30+ DAYS AGO
