Title,Company,Experience,Location,Tags,Ratings,Reviews,Salary,Job_Type,Posted
Machine learning and AI Engineer,Megdap Innovation Labs Private Limited,2-5 Yrs,Pune,"IT Skills
Java
Python
Data Science
Machine Learning
Azure
Computer science
C++",,,Not disclosed,,30+ DAYS AGO
Machine Learning-data scientist,Diverse Lynx,2-6 Yrs,Bangalore/Bengaluru,Machine learning,2.8,(47 Reviews),Not disclosed,,30+ DAYS AGO
Sr Engineer - Machine Learning Platform,Target Corporation India Pvt Ltd,4-9 Yrs,Bangalore/Bengaluru,"Environment management
Computer vision
Version control
Design review
Machine learning
Data quality
Unit testing
software quality",4.3,(246 Reviews),Not disclosed,PREMIUM,30+ DAYS AGO
Machine Learning Trainer,Innovadors Lab Pvt Ltd,4-9 Yrs,Bhubaneswar,"Computer vision
deep learning
Corporate training
Image processing
Opencv
Machine learning
Corporate
Natural language processing",3.7,(3 Reviews),Not disclosed,,30+ DAYS AGO
Concentrix Innovation Labs is Hiring For AI Engineer- Machine Learning,Concentrix Innovation Labs,4-8 Yrs,"Bangalore/Bengaluru, Delhi / NCR","IT Skills
Java
Python
Machine Learning
Artificial Intelligence
Image Processing
Reinforcement Learning
Data Analysis",4.1,(9760 Reviews),Not disclosed,HOT JOB,6 DAYS AGO
Data Science Developer - Machine Learning,Silverlink Technilogies,5-10 Yrs,"Hyderabad/Secunderabad, Pune","IT Skills
Python
Data Science
Machine Learning
Data Management
ITSM
Time series
Algorithm",,,Not disclosed,PREMIUM,11 DAYS AGO
Machine Learning Engineer,ATAI LABS,2-7 Yrs,Hyderabad,"IT Skills
Java
Python
Machine Learning
DevOps
Computer vision
C++
github",,,Not disclosed,,30+ DAYS AGO
Lead Engineer - Machine Learning Platform,Target Corporation India Pvt Ltd,8-13 Yrs,Bengaluru,"Environment management
Computer vision
Version control
Design review
Machine learning
Data quality
Unit testing
software quality",4.3,(246 Reviews),Not disclosed,,30+ DAYS AGO
Data Scientist - Machine Learning,RPA Infotech Pvt.Ltd,2-7 Yrs,Gurgaon,"Computer science
Operations research
data science
Bfsi
Network analysis
Machine learning
Social networking
Natural language processing",,,Not disclosed,,30+ DAYS AGO
"Machine Learning Engineer, Image Processing",Hubino Technologies Pvt Ltd,2-5 Yrs,Chennai,"x86
Python
ARM
ETL
CUDA
Computer science
Business process
Computer vision",,,Not disclosed,,30+ DAYS AGO
Product Manager- Artificial Intelligence/Machine Learning-(AI-ML),Pioneer Manpower Solutions,2-7 Yrs,Bangalore/Bengaluru,"Machine Learning
Product development
Product Manager
Data Scientist
Product Launch
scikit-learn
AI
Roadmap",,,Not disclosed,HOT JOB,12 DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,4-6 Yrs,Hyderabad/Secunderabad,"Business process
Interpersonal skills
orchestration
GCP
Consulting
Machine learning
Cloud
Programming",4.0,(18767 Reviews),Not disclosed,PREFERRED,12 DAYS AGO
Machine Learning Application Lead,Accenture Solutions Pvt Ltd,6-8 Yrs,Bangalore/Bengaluru,"IT Skills
Python
Machine Learning
Azure
Time management
Consulting
Manager Technology
Application Lead",4.0,(18767 Reviews),Not disclosed,PREFERRED,12 DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,4-6 Yrs,Chennai,"communication
Machine Learning
Pig
Hadoop
Hive
IT Skills
Testing
Computer science",4.0,(18767 Reviews),Not disclosed,PREFERRED,12 DAYS AGO
Machine Learning Technical Architect,Accenture Solutions Pvt Ltd,15-18 Yrs,Pune,"IT Skills
Python
Data Science
Machine Learning
Cloud
AWS
Azure
Computer science",4.0,(18767 Reviews),Not disclosed,PREFERRED,12 DAYS AGO
Machine Learning Scientist,Phenompeople Private Limited,1-6 Yrs,"Hyderabad/Secunderabad, Telangana","Kafka
Java
Spark
Learning
NLP algorithms
data analytics
Hadoop
Machine Learning",,,Not disclosed,HOT JOB,27 DAYS AGO
